run_accession,condition,sample
,ddm1_b_1,R1
,ddm1_2_G5,R1
,a_long_2,R1
,a_2,R1
,b_2,R1
,b_1,R1
,ddm1_dNBD8,R1
,b_2,R2
,ddm1_ab_1,R1
,F2_a_2,R1
,a_2,R2
,mom1,R1
,ddm1_a_1,R1
,F2_WT,R1
,F2_ddm1_a_2,R1
,F2_a_2,R2
,F2_a_2,R3
,a_1,R1
,F2_ddm1,R1
,ddm1_b_2,R1
,ddm1_mom1,R1
,ddm1_ab_2,R1
,ddm1_dNBD8,R2
,ddm1_b_2,R2
,F2_WT,R2
,ddm1_ab_1,R2
,ab_2,R1
,a_long_3,R1
,F2_ddm1_a_2,R2
,ddm1_2_G5,R2
,a_long_1,R1
,F2_ddm1,R2
,ddm1_a_long_b_2,R1
,ddm1_mom1,R2
,a_2,R3
,a_long_b,R1
,b_2,R3
,ab_1,R1
,ab_1,R2
,ddm1_2_G2,R1
,ab_2,R2
,a_long_1,R2
,a_long_2,R2
,mom1,R2
,empty,R1
,ddm1_mom1,R3
,F2_ddm1,R3
,ddm1_a_long_b_2,R2
,mom1,R3
,ddm1_a_long_b_1,R1
,ddm1_a_long_b_1,R2
,ddm1_2_G2,R2
,ddm1_a_long_b_2,R3
,ddm1_a_long_b_1,R3
,b_1,R2
,ddm1_b_1,R2
,a_1,R2
,a_long_3,R2
,a_long_1,R3
,F2_ddm1_a_2,R3
,ddm1_ab_2,R2
,Col_0,R1
,F2_WT,R3
,a_long_2,R3
,ab_2,R3
,a_long_b,R2
,Col_0,R2
,ddm1_ab_1,R3
,a_1,R3
,ddm1_ab_2,R3
,Col_0,R3
,ab_1,R3
,a_long_b,R3
,ddm1_b_1,R3
,ddm1_b_2,R3
,ddm1_2_G2,R3
,ddm1_2_G5,R3
,ddm1_a_1,R2
,a_long_3,R3
,b_1,R3
,ddm1_a_1,R3
,ddm1_dNBD8,R3
